Negara,Persentase Kematian NCD,Tahun
"{'id': 'Z4', 'value': 'East Asia & Pacific'}",17.3502263416317,2017
"{'id': 'Z7', 'value': 'Europe & Central Asia'}",17.3144888880753,2016
"{'id': 'V3', 'value': 'Late-demographic dividend'}",17.2926074416128,2017
"{'id': 'Z4', 'value': 'East Asia & Pacific'}",17.1394367076022,2018
"{'id': 'V3', 'value': 'Late-demographic dividend'}",17.0546793960489,2018
"{'id': 'Z4', 'value': 'East Asia & Pacific'}",17.0291843436807,2019
"{'id': 'Z4', 'value': 'East Asia & Pacific'}",16.9097548023485,2021
"{'id': 'Z7', 'value': 'Europe & Central Asia'}",16.9013083819824,2017
"{'id': 'Z7', 'value': 'Europe & Central Asia'}",16.8496194012622,2018
"{'id': 'V3', 'value': 'Late-demographic dividend'}",16.7995745751483,2019
"{'id': 'Z4', 'value': 'East Asia & Pacific'}",16.7565317239183,2020
"{'id': 'V3', 'value': 'Late-demographic dividend'}",16.4578796489345,2021
"{'id': 'V3', 'value': 'Late-demographic dividend'}",16.3847770263388,2020
"{'id': 'Z7', 'value': 'Europe & Central Asia'}",16.3691096013233,2019
"{'id': 'XJ', 'value': 'Latin America & Caribbean (excluding high income)'}",16.1695978626708,2010
"{'id': 'ZJ', 'value': 'Latin America & Caribbean'}",16.0281096668603,2010
"{'id': 'T2', 'value': 'Latin America & the Caribbean (IDA & IBRD countries)'}",16.0233479134196,2010
"{'id': 'XJ', 'value': 'Latin America & Caribbean (excluding high income)'}",15.9054383745211,2011
"{'id': 'Z7', 'value': 'Europe & Central Asia'}",15.8832815188569,2020
"{'id': 'T2', 'value': 'Latin America & the Caribbean (IDA & IBRD countries)'}",15.8126271870255,2011
"{'id': 'ZJ', 'value': 'Latin America & Caribbean'}",15.8014597570703,2011
"{'id': 'Z7', 'value': 'Europe & Central Asia'}",15.7496590800076,2021
"{'id': 'XJ', 'value': 'Latin America & Caribbean (excluding high income)'}",15.6924789395426,2012
"{'id': 'T2', 'value': 'Latin America & the Caribbean (IDA & IBRD countries)'}",15.5967886430254,2012
